City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,ilulissat,69.2167,-51.1,-22.99,45,21,2.06,GL,1706670491
138,uturoa,-16.7333,-151.4333,29.07,73,96,4.96,PF,1706670498
139,orsa,54.5153,30.4053,-2.58,91,99,3.24,BY,1706670501
140,cabedelo,-6.9811,-34.8339,26.68,74,4,4.61,BR,1706670504
141,puerto penasco,31.3167,-113.5333,17.17,87,0,0.83,MX,1706670507
142,oamaru,-45.0784,170.9801,21.32,69,13,8.71,NZ,1706670510
143,hammerfest,70.6634,23.6821,3.25,52,20,24.69,NO,1706670512
144,la ronge,55.1001,-105.2842,3.36,72,2,5.26,CA,1706670515
145,vernon,50.2581,-119.2691,7.94,93,100,0.86,CA,1706670518
146,taber,49.8167,-112.1518,8.7,66,100,3.73,CA,1706670474
147,linden,6.0,-58.3,23.22,96,62,1.22,GY,1706670524
148,sokolovyy,51.5686,45.8331,-5.37,92,81,3.9,RU,1706670527
149,hassi messaoud,31.6804,6.0729,11.63,51,99,3.59,DZ,1706670530
150,st. john's,47.5649,-52.7093,-4.01,83,99,9.39,CA,1706670532
151,byron bay,-28.65,153.6167,29.28,60,96,4.73,AU,1706670535
152,ust-nera,64.5667,143.2,-29.74,97,100,1.98,RU,1706670538
153,weno,7.4515,151.8468,29.97,66,100,5.14,FM,1706670541
154,isafjordur,66.0755,-23.124,-5.73,79,60,3.3,IS,1706670481
155,port lincoln,-34.7333,135.8667,20.04,57,0,5.38,AU,1706670545
156,tambura,5.6,27.4667,21.05,30,100,2.0,SS,1706670549
157,badger,64.8,-147.5333,-28.07,68,75,1.54,US,1706670552
158,hawaiian paradise park,19.5933,-154.9731,27.8,78,100,3.09,US,1706670455
159,alo,7.4178,6.7371,25.62,26,65,0.86,NG,1706670558
160,longyearbyen,78.2186,15.6401,-5.09,63,75,5.66,SJ,1706670498
161,waiuku,-37.25,174.75,28.94,57,50,4.14,NZ,1706670563
